"SurveyID","change.value","change.par","new.R0"
"Survey 1",0.8,"beta_Rodent",1.14899622030199
"Survey 1",0.8,"chi_H_Cattle",1.17384026942329
"Survey 1",0.8,"chi_H_Dog",1.1743515442715
"Survey 1",0.8,"chi_H_Goat/sheep",1.11371054155321
"Survey 1",0.8,"chi_H_Pig",1.16895821778741
"Survey 1",0.8,"chi_H_Poultry",1.17117005288613
"Survey 1",0.8,"chi_H_Rodent",1.1576651050537
"Survey 1",0.8,"phi",1.11626460050777
"Survey 1",0.9,"beta_Cattle",1.17385870165911
"Survey 1",0.9,"beta_Dog",1.1743574795344
"Survey 1",0.9,"beta_Goat/sheep",1.11708338026398
"Survey 1",0.9,"beta_Pig",1.16925358396486
"Survey 1",0.9,"beta_Poultry",1.17127036941417
"Survey 1",0.9,"beta_Rodent",1.15862366316221
"Survey 1",0.9,"chi_H_Cattle",1.17406378255306
"Survey 1",0.9,"chi_H_Dog",1.17441089447369
"Survey 1",0.9,"chi_H_Goat/sheep",1.14386249001369
"Survey 1",0.9,"chi_H_Pig",1.17232923732958
"Survey 1",0.9,"chi_H_Poultry",1.17267701147206
"Survey 1",0.9,"chi_H_Rodent",1.165009736697
"Survey 1",0.9,"phi",1.14467547984806
"Survey 1",2,"sigma_H_Cattle",1.17303010750868
"Survey 1",2,"sigma_H_Dog",1.17417387920629
"Survey 1",2,"sigma_H_Goat/sheep",1.01170792885354
"Survey 1",2,"sigma_H_Pig",1.16130075996362
"Survey 1",2,"sigma_H_Poultry",1.16535556821903
"Survey 1",2,"sigma_H_Rodent",1.14072520742601
"Survey 1",3,"sigma_H_Cattle",1.17196828011376
"Survey 1",3,"sigma_H_Dog",1.17407487706486
"Survey 1",3,"sigma_H_Goat/sheep",0.954774766866783
"Survey 1",3,"sigma_H_Pig",1.15718892792594
"Survey 1",3,"sigma_H_Poultry",1.16175305428189
"Survey 1",3,"sigma_H_Rodent",1.129817969613
"Survey 1",4,"sigma_H_Cattle",1.17135437397575
"Survey 1",4,"sigma_H_Dog",1.17402533547937
"Survey 1",4,"sigma_H_Goat/sheep",0.92163756974929
"Survey 1",4,"sigma_H_Pig",1.15442243943884
"Survey 1",4,"sigma_H_Poultry",1.15998260344481
"Survey 1",4,"sigma_H_Rodent",1.12374281399435
"Survey 1",5,"sigma_H_Cattle",1.17105687979376
"Survey 1",5,"sigma_H_Dog",1.17399559754819
"Survey 1",5,"sigma_H_Goat/sheep",0.901251446049656
"Survey 1",5,"sigma_H_Pig",1.15376061033157
"Survey 1",5,"sigma_H_Poultry",1.15945066883751
"Survey 1",5,"sigma_H_Rodent",1.12020485259312
"Survey 1",6,"sigma_H_Cattle",1.1707873225055
"Survey 1",6,"sigma_H_Dog",1.17397576684893
"Survey 1",6,"sigma_H_Goat/sheep",0.88682505203298
"Survey 1",6,"sigma_H_Pig",1.15317427734066
"Survey 1",6,"sigma_H_Poultry",1.15896746494262
"Survey 1",6,"sigma_H_Rodent",1.11824826027058
"Survey 1",7,"sigma_H_Cattle",1.170614019535
"Survey 1",7,"sigma_H_Dog",1.17391381915018
"Survey 1",7,"sigma_H_Goat/sheep",0.877153052904414
"Survey 1",7,"sigma_H_Pig",1.15275513025939
"Survey 1",7,"sigma_H_Poultry",1.15833165934172
"Survey 1",7,"sigma_H_Rodent",1.11641083417895
"Survey 1",8,"sigma_H_Cattle",1.17048627664531
"Survey 1",8,"sigma_H_Dog",1.17386562355919
"Survey 1",8,"sigma_H_Goat/sheep",0.869755117189627
"Survey 1",8,"sigma_H_Pig",1.15226117765043
"Survey 1",8,"sigma_H_Poultry",1.1575580878875
"Survey 1",8,"sigma_H_Rodent",1.11457993114855
"Survey 1",9,"sigma_H_Cattle",1.170386901379
