"variable","importance","rep"
"chi_H",0.216928713045591,33
"beta",0.220607693214244,33
"gamma_H",0.0116563846863627,33
"sigma_H",0.0347560623577113,33
"mu_H",0.0738918930594434,33
"v_H",0.0136523505203759,33
"mu_T",0.0336021402152251,34
"phi",0.107654711899581,34
"chi_H",0.218667262546788,34
"beta",0.225813922328522,34
"gamma_H",0.0114931125492521,34
"sigma_H",0.0353958794186448,34
"mu_H",0.0758270307478162,34
"v_H",0.0134977710141031,34
"mu_T",0.0325839313833442,35
"phi",0.107687331502195,35
"chi_H",0.222162446594089,35
"beta",0.224198639555512,35
"gamma_H",0.0113151869922334,35
"sigma_H",0.0346484156130974,35
"mu_H",0.0774684847495559,35
"v_H",0.0132842901164631,35
"mu_T",0.0319184503004731,36
"phi",0.106981052418038,36
"chi_H",0.218208796725243,36
"beta",0.220301228177406,36
"gamma_H",0.0117531683847335,36
"sigma_H",0.0345082195110981,36
"mu_H",0.0749306919333475,36
"v_H",0.0131123387361041,36
"mu_T",0.0329613748234458,37
"phi",0.107622279663626,37
"chi_H",0.220324279477315,37
"beta",0.221311518815536,37
"gamma_H",0.0113195591948628,37
"sigma_H",0.0348281874848049,37
"mu_H",0.0768124584382413,37
"v_H",0.0133075295634366,37
"mu_T",0.0323405116346744,38
"phi",0.107676514957525,38
"chi_H",0.227749476658638,38
"beta",0.225184872903857,38
"gamma_H",0.0111230045151099,38
"sigma_H",0.0339694593355301,38
"mu_H",0.077431179676231,38
"v_H",0.0131056444185285,38
"mu_T",0.0320282940152604,39
"phi",0.107687187947172,39
"chi_H",0.21979324737203,39
"beta",0.220117074136487,39
"gamma_H",0.0112291536355194,39
"sigma_H",0.0343434978520012,39
"mu_H",0.0721920478300686,39
"v_H",0.0126632687546296,39
"mu_T",0.0319797699060166,40
"phi",0.107467671202698,40
"chi_H",0.226146818456603,40
"beta",0.228851479653784,40
"gamma_H",0.0111135849033209,40
"sigma_H",0.0343351545376397,40
"mu_H",0.07398342439198,40
"v_H",0.0130562173782502,40
"mu_T",0.0335123885898548,41
"phi",0.108556739806377,41
"chi_H",0.22258022908678,41
"beta",0.227527077836526,41
"gamma_H",0.0111365663855107,41
"sigma_H",0.0353948376445586,41
"mu_H",0.0733324967669098,41
"v_H",0.0136764132479066,41
"mu_T",0.0324137786663172,42
"phi",0.108659514476289,42
"chi_H",0.222875584205515,42
"beta",0.222369843356476,42
"gamma_H",0.0114441705132157,42
"sigma_H",0.0351159371919043,42
"mu_H",0.0728636331955111,42
"v_H",0.0130658357624508,42
"mu_T",0.0324888888438652,43
"phi",0.107099451321571,43
"chi_H",0.219360896421306,43
"beta",0.22297538557678,43
"gamma_H",0.0112132501038146,43
"sigma_H",0.0353060932455058,43
"mu_H",0.0733179263041552,43
"v_H",0.0134681564534205,43
"mu_T",0.0333618357718876,44
"phi",0.107427278617965,44
"chi_H",0.214780904006012,44
"beta",0.221761182192925,44
"gamma_H",0.0113394680293532,44
"sigma_H",0.0341503969576882,44
"mu_H",0.0758089215181257,44
"v_H",0.0132144588939716,44
"mu_T",0.0325732720435986,45
"phi",0.108458170121368,45
"chi_H",0.223611905951462,45
"beta",0.226883276820892,45
"gamma_H",0.0114093484190067,45
"sigma_H",0.0349321425862322,45
"mu_H",0.0772195920595259,45
"v_H",0.0132703703276458,45
"mu_T",0.0332661203732804,46
"phi",0.107727571565735,46
"chi_H",0.215217931821706,46
"beta",0.224758109935714,46
"gamma_H",0.0112048473711779,46
"sigma_H",0.0347568027692902,46
"mu_H",0.0733756685628581,46
"v_H",0.0134408841088025,46
"mu_T",0.0324697167971356,47
"phi",0.107719515450003,47
"chi_H",0.22145313527813,47
"beta",0.220603958645355,47
"gamma_H",0.0111679524491878,47
"sigma_H",0.0344348529028829,47
"mu_H",0.0765339219893348,47
"v_H",0.0136610576182991,47
"mu_T",0.0318773846591024,48
"phi",0.107937389117124,48
"chi_H",0.222876941300804,48
"beta",0.222864319251174,48
"gamma_H",0.0115924202971189,48
"sigma_H",0.0348409339417426,48
"mu_H",0.0760958839815918,48
"v_H",0.0133406225250927,48
"mu_T",0.0326316322547832,49
"phi",0.107938121441471,49
"chi_H",0.219199121475624,49
"beta",0.221988552250251,49
"gamma_H",0.0109971421050067,49
"sigma_H",0.0335637622975562,49
"mu_H",0.0730632669894032,49
"v_H",0.0136588582212093,49
"mu_T",0.033628553914451,50
"phi",0.108063229831867,50
"chi_H",0.218815711881778,50
"beta",0.224999386488464,50
"gamma_H",0.0112005956735923,50
"sigma_H",0.0342226100089255,50
"mu_H",0.0742115284535538,50
"v_H",0.0129394261228102,50
"mu_T",0.0325247243224746,51
"phi",0.107730506274629,51
"chi_H",0.215213595677925,51
"beta",0.220751173344992,51
"gamma_H",0.0116912458495415,51
"sigma_H",0.0337667208676529,51
"mu_H",0.0763446510708785,51
"v_H",0.0133132952449472,51
"mu_T",0.0328700800397904,52
"phi",0.107841875712929,52
"chi_H",0.217998479703438,52
"beta",0.224263973532545,52
"gamma_H",0.011531709955575,52
"sigma_H",0.0345613027183808,52
"mu_H",0.0722273773608866,52
"v_H",0.0130689285620734,52
"mu_T",0.032914188212527,53
"phi",0.108394495129284,53
"chi_H",0.216073799780367,53
"beta",0.221220200376891,53
"gamma_H",0.0116420031656371,53
"sigma_H",0.0343664012259993,53
"mu_H",0.0743737011104545,53
"v_H",0.0136253582582479,53
"mu_T",0.032982992967216,54
"phi",0.108664858895953,54
"chi_H",0.221135425651473,54
"beta",0.223067123247632,54
"gamma_H",0.0113315429426063,54
"sigma_H",0.034756627536237,54
"mu_H",0.0754746629783846,54
"v_H",0.0133185865501257,54
"mu_T",0.0325495927614807,55
"phi",0.107529086455984,55
"chi_H",0.217326412481634,55
"beta",0.219324458018856,55
"gamma_H",0.0113530009066912,55
"sigma_H",0.0332702429867569,55
"mu_H",0.0756626906628342,55
"v_H",0.013184929252665,55
"mu_T",0.0322031669410253,56
"phi",0.107129882149904,56
"chi_H",0.215341408725282,56
"beta",0.219408764698148,56
"gamma_H",0.0116327458259156,56
"sigma_H",0.0334160785458149,56
"mu_H",0.0754279202219613,56
"v_H",0.0138389482070944,56
"mu_T",0.0326755905026648,57
"phi",0.107422713792717,57
"chi_H",0.214304618074928,57
"beta",0.220365236594963,57
"gamma_H",0.0112516535064557,57
"sigma_H",0.0343278860617118,57
"mu_H",0.0712804921962484,57
"v_H",0.0130189956807738,57
"mu_T",0.0327396585326012,58
"phi",0.108338474246227,58
"chi_H",0.218452451432807,58
"beta",0.220343224310737,58
"gamma_H",0.0113512648264542,58
"sigma_H",0.0346770140827153,58
"mu_H",0.0746345480920391,58
"v_H",0.0132049758307139,58
"mu_T",0.0330050131758313,59
"phi",0.107880624507917,59
"chi_H",0.218554107491497,59
"beta",0.219808595968761,59
"gamma_H",0.0112766761087357,59
"sigma_H",0.0344843195614705,59
"mu_H",0.0754359916612134,59
"v_H",0.0135090392648387,59
"mu_T",0.0325873460930325,60
"phi",0.107443644758004,60
"chi_H",0.21798750511547,60
"beta",0.220707783777066,60
"gamma_H",0.0113302551863338,60
"sigma_H",0.0344114265198687,60
"mu_H",0.0743451364733478,60
"v_H",0.0133856495286761,60
"mu_T",0.0330873572347663,61
"phi",0.107638579117777,61
"chi_H",0.217378908711499,61
"beta",0.223002540119567,61
"gamma_H",0.0114711937263042,61
"sigma_H",0.0348504859016639,61
"mu_H",0.0717669958000947,61
"v_H",0.0130860036553111,61
"mu_T",0.0317796602830069,62
"phi",0.107701666967541,62
"chi_H",0.220797317756964,62
"beta",0.224234452508977,62
"gamma_H",0.0112620147874987,62
"sigma_H",0.0332785480439841,62
"mu_H",0.0734984199219896,62
"v_H",0.0131123058575771,62
"mu_T",0.0335873492522409,63
"phi",0.108199787848621,63
"chi_H",0.217885039431442,63
"beta",0.219399164231922,63
"gamma_H",0.0116023453163915,63
"sigma_H",0.0355552656755586,63
"mu_H",0.0740524987472228,63
"v_H",0.013820331103539,63
"mu_T",0.0327341251309777,64
"phi",0.108347453161927,64
"chi_H",0.219336955687443,64
"beta",0.221773739685589,64
"gamma_H",0.0112184776190507,64
"sigma_H",0.0347030282749343,64
"mu_H",0.0711374939137036,64
"v_H",0.0132259775172882,64
"mu_T",0.0333749279594054,65
"phi",0.108506088295987,65
"chi_H",0.220284397994588,65
"beta",0.225201301986568,65
"gamma_H",0.0117563491350088,65
"sigma_H",0.0346782302034564,65
"mu_H",0.0752867847421058,65
"v_H",0.0139261580953539,65
"mu_T",0.0316295942456164,66
"phi",0.107659680546436,66
"chi_H",0.220535273072376,66
"beta",0.221314037722521,66
"gamma_H",0.0116370861323999,66
"sigma_H",0.0344184984969702,66
"mu_H",0.0747002849999211,66
"v_H",0.013098191317417,66
"mu_T",0.0329436543394114,67
"phi",0.107998715570127,67
"chi_H",0.216413064983572,67
"beta",0.220272411911583,67
"gamma_H",0.0112237493805728,67
"sigma_H",0.0343312644082091,67
"mu_H",0.0739952746004118,67
"v_H",0.0129359514838844,67
"mu_T",0.0323561036451878,68
"phi",0.108364856763357,68
"chi_H",0.221083920134297,68
"beta",0.226438605938663,68
"gamma_H",0.0108802357035558,68
"sigma_H",0.0338628505792351,68
"mu_H",0.0716200563471082,68
"v_H",0.0131536841420707,68
"mu_T",0.0319140827815032,69
"phi",0.10724520896062,69
"chi_H",0.22106089716232,69
"beta",0.224560741733628,69
"gamma_H",0.0109854945750502,69
"sigma_H",0.0345061819673892,69
"mu_H",0.0723524455603015,69
"v_H",0.0129640704005184,69
"mu_T",0.0327352430184868,70
"phi",0.108610702656622,70
"chi_H",0.220292005654854,70
"beta",0.220227419699437,70
"gamma_H",0.0115846306191253,70
"sigma_H",0.0352030533008506,70
"mu_H",0.0783106536026083,70
"v_H",0.0137828411571891,70
"mu_T",0.0324786669363098,71
"phi",0.107012080839673,71
"chi_H",0.22373581814875,71
"beta",0.225007718166133,71
"gamma_H",0.0113017932483872,71
"sigma_H",0.0340926257290727,71
"mu_H",0.0728693216943291,71
"v_H",0.0133917404204299,71
"mu_T",0.0319678065192148,72
"phi",0.107158717776571,72
"chi_H",0.216811701372469,72
"beta",0.217641157182002,72
"gamma_H",0.0114249926893641,72
"sigma_H",0.0340862839471852,72
"mu_H",0.0742567025200768,72
"v_H",0.0132688647474969,72
"mu_T",0.0323665764563106,73
"phi",0.10738654096201,73
"chi_H",0.219993668413209,73
"beta",0.226177199450743,73
"gamma_H",0.0112576349495627,73
"sigma_H",0.033949243760491,73
"mu_H",0.0736804804451302,73
"v_H",0.0130052992540954,73
"mu_T",0.0325566103432002,74
"phi",0.107835851067353,74
"chi_H",0.220741642258261,74
"beta",0.222398852671291,74
"gamma_H",0.0114472340494019,74
"sigma_H",0.0344284848329489,74
"mu_H",0.074170105254471,74
"v_H",0.0132213351621789,74
"mu_T",0.0324687075389407,75
"phi",0.10748549525189,75
"chi_H",0.21853746911278,75
"beta",0.220909727967753,75
"gamma_H",0.0118209816696547,75
"sigma_H",0.0343235268795942,75
"mu_H",0.0712436743623395,75
"v_H",0.0133731783302689,75
"mu_T",0.0328001093676628,76
"phi",0.107567254236095,76
"chi_H",0.210824608069612,76
"beta",0.221062714641706,76
"gamma_H",0.0113145664848532,76
"sigma_H",0.0345512759751623,76
"mu_H",0.0704506757096222,76
"v_H",0.0131148333837926,76
"mu_T",0.0328434550061503,77
"phi",0.107113628211426,77
"chi_H",0.217168984799736,77
"beta",0.219693737360011,77
"gamma_H",0.0113194370214831,77
"sigma_H",0.0338823655682385,77
"mu_H",0.0697476227817462,77
"v_H",0.0130708473146366,77
"mu_T",0.0327134030681616,78
"phi",0.108666527993099,78
"chi_H",0.226162902833438,78
"beta",0.228863255497441,78
"gamma_H",0.0114665726651075,78
"sigma_H",0.0345781904230714,78
"mu_H",0.0766720885177277,78
"v_H",0.0133986192958426,78
"mu_T",0.0345943151691636,79
"phi",0.108255379762334,79
"chi_H",0.21814558833521,79
"beta",0.225058196367728,79
"gamma_H",0.0121360389350689,79
"sigma_H",0.035553493443108,79
"mu_H",0.0745899950634107,79
"v_H",0.0137213570090749,79
"mu_T",0.0336814409861138,80
"phi",0.1081594485874,80
"chi_H",0.219952421356039,80
"beta",0.225717670625905,80
"gamma_H",0.0114555037117986,80
"sigma_H",0.0356478417590135,80
"mu_H",0.0752391408303752,80
"v_H",0.0134357496577327,80
"mu_T",0.0325641329829404,81
"phi",0.107454590319204,81
"chi_H",0.218183516574885,81
"beta",0.225026717070091,81
"gamma_H",0.0112934434814289,81
"sigma_H",0.0343457554945309,81
"mu_H",0.0718401250349228,81
"v_H",0.0131353067153051,81
"mu_T",0.0321786911061431,82
"phi",0.107484985201723,82
"chi_H",0.218951185977512,82
"beta",0.223504598439581,82
"gamma_H",0.0113040561693816,82
"sigma_H",0.0342154423774444,82
"mu_H",0.0727096241774584,82
"v_H",0.0129575066629458,82
"mu_T",0.0320502406419613,83
"phi",0.107615437766983,83
"chi_H",0.218615437447683,83
"beta",0.221682262541886,83
"gamma_H",0.0111443009323378,83
"sigma_H",0.0341728779642476,83
"mu_H",0.0731897841268714,83
"v_H",0.0128724012789007,83
"mu_T",0.0319234310349806,84
"phi",0.108044069334329,84
"chi_H",0.223446462254165,84
"beta",0.223716135338842,84
"gamma_H",0.0114184344269971,84
"sigma_H",0.0341418752369923,84
"mu_H",0.0728118627389953,84
"v_H",0.0131530452142539,84
"mu_T",0.0340217633119791,85
"phi",0.108263611816097,85
"chi_H",0.216825157855687,85
"beta",0.224074189048524,85
"gamma_H",0.0113192624117111,85
"sigma_H",0.0348451936543137,85
"mu_H",0.0756006800754172,85
"v_H",0.0136919625044707,85
"mu_T",0.033689332281367,86
"phi",0.107580758999393,86
"chi_H",0.217322237474893,86
"beta",0.222940759361688,86
"gamma_H",0.0117774861047239,86
"sigma_H",0.0349411991916285,86
"mu_H",0.0738238146007456,86
"v_H",0.0140406569022224,86
"mu_T",0.0329885442527419,87
"phi",0.107415893452219,87
"chi_H",0.214932483986147,87
"beta",0.217174372677569,87
"gamma_H",0.0119075472745909,87
"sigma_H",0.0341381946344578,87
"mu_H",0.0704499704629143,87
"v_H",0.012960893467975,87
"mu_T",0.0327840147693513,88
"phi",0.108247316329414,88
"chi_H",0.22190342655162,88
"beta",0.224706180725136,88
"gamma_H",0.0110220723820895,88
"sigma_H",0.0342238716365071,88
"mu_H",0.0720058940392396,88
"v_H",0.0130654075365998,88
"mu_T",0.0327117168244206,89
"phi",0.10824649618689,89
"chi_H",0.21873369468855,89
"beta",0.224879910549325,89
"gamma_H",0.0115882468292969,89
"sigma_H",0.0335322463622055,89
"mu_H",0.0750731145257425,89
"v_H",0.0130594737937537,89
"mu_T",0.0321869143841771,90
"phi",0.107459443053002,90
"chi_H",0.216262900262189,90
"beta",0.221347688977407,90
"gamma_H",0.0111315206454341,90
"sigma_H",0.0346414077425467,90
"mu_H",0.074684680581387,90
"v_H",0.0128634326924149,90
"mu_T",0.0324816782061694,91
"phi",0.107524122561535,91
"chi_H",0.216520436258495,91
"beta",0.221474236069988,91
"gamma_H",0.011448263315069,91
"sigma_H",0.0338096209367524,91
"mu_H",0.0756201483556171,91
"v_H",0.0130322343013444,91
"mu_T",0.0328812036613939,92
"phi",0.107951449062819,92
"chi_H",0.219074649559839,92
"beta",0.227744068305885,92
"gamma_H",0.0115535405300614,92
"sigma_H",0.0344522130777192,92
"mu_H",0.0743734294294796,92
"v_H",0.0131467345798122,92
"mu_T",0.0327039549769398,93
"phi",0.107972153982627,93
"chi_H",0.222668634378908,93
"beta",0.22150253212532,93
"gamma_H",0.0113903003484322,93
"sigma_H",0.0357207068922921,93
"mu_H",0.0739612013796193,93
"v_H",0.0133945922825499,93
"mu_T",0.0327687066432443,94
"phi",0.108599603618418,94
"chi_H",0.223123175292448,94
"beta",0.223426070269658,94
"gamma_H",0.0114647274996495,94
"sigma_H",0.0344611541737935,94
"mu_H",0.0747358174281312,94
"v_H",0.0131622628762951,94
"mu_T",0.032966806088522,95
"phi",0.108060510240312,95
"chi_H",0.215389484403084,95
"beta",0.219153208350005,95
"gamma_H",0.0115213800102879,95
"sigma_H",0.034603672500475,95
"mu_H",0.0748678718302744,95
"v_H",0.0135616953433178,95
"mu_T",0.0322471063170225,96
"phi",0.107732807237045,96
"chi_H",0.21775618041855,96
"beta",0.221242731529565,96
"gamma_H",0.0110773664906636,96
"sigma_H",0.034620332830992,96
"mu_H",0.0760375187016998,96
"v_H",0.0132382844289098,96
"mu_T",0.0325618464838239,97
"phi",0.108588985072062,97
"chi_H",0.22629414896764,97
"beta",0.224340224845117,97
"gamma_H",0.0117938417460882,97
"sigma_H",0.0350338973644513,97
"mu_H",0.0779404547496724,97
"v_H",0.0132080696220536,97
"mu_T",0.0326110101969548,98
"phi",0.10745190127186,98
"chi_H",0.217002256806695,98
"beta",0.221398802385436,98
"gamma_H",0.0111799457491688,98
"sigma_H",0.0332623657540852,98
"mu_H",0.0711535580680729,98
"v_H",0.0130227235880362,98
"mu_T",0.0329394345054281,99
"phi",0.108211997501043,99
"chi_H",0.216458814403272,99
"beta",0.22479773207675,99
"gamma_H",0.0113859446853214,99
"sigma_H",0.0341608288624524,99
"mu_H",0.0713987899371128,99
"v_H",0.0131270283073358,99
"mu_T",0.0325903684616556,100
"phi",0.108128883463402,100
"chi_H",0.223018655455584,100
"beta",0.223121907860857,100
"gamma_H",0.0115970120048451,100
"sigma_H",0.0355976508830948,100
"mu_H",0.0769842697120562,100
"v_H",0.0131913396611223,100
